Q1_i,Q1_ii,Q1_iii,Q1_iv,Q1_i_score,Q1_ii_score,Q1_iii_score,Q1_iv_score,Total_Q1,Q2_i,Q2_ii,Q2_i_score,Q2_ii_score,Total_Q2,Q3_i,Q3_ii,Q3_i_score,Q3_ii_score,Total_Q3,Q4,Q4_score,Total_Q4,Q5_i,Q5_ii,Q5_iii,Q5_i_score,Q5_ii_score,Q5_iii_score,Total_Q5,Q6_i,Q6_ii,Q6_i_score,Q6_ii_score,Total_Q6,Q7,Q7_score,Total_Q7,Total_score,Percentage,RLD_level
වැස්ස වහිනවා,අහසට,පයින්,රෙදි,1,0,0,1,2,කසුන්,දන්නෙ නෑ,1,0,1,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියන් වෙමු,1,1,2,දහයයි,0,0,ගස,ගේට්ටුව,ළිඳ,1,0,0,1,අන්නාසි,තොප්පිය,1,0,1,සඳුදා,1,1,8,53.33,Average
දන්නෙ නෑ,දන්නෙ නෑ,දන්නෙ නෑ,රෙදි,0,0,0,1,1,දන්නෙ නෑ,දන්නෙ නෑ,0,0,0,අම්මා රූපවාහිනිය බලනවා,පුරවැසියන් හොඳින් ඉගෙන ගෙන යහපත් වෙමු,1,0,1,අටයි,1,1,ගස,ගේට්ටුව,පාත්ති,1,0,1,2,කැරට්,ටීෂර්ට් 1,0,0,0,සඳුදා,1,1,6,40.0,Weak
වහින්නට පෙර අවස්ථාවක්,කැදැලි කරා,කලබලෙන්,රෙදි,1,1,1,1,4,සහන්,පවනි,0,0,0,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියන් වෙමු,1,1,2,අටයි,1,1,ගස,මල් පඳුර,ළිඳ,1,0,0,1,අන්නාසි,සපත්තු 2,1,1,2,සඳුදා,1,1,11,73.33,Normal
වැසි අවස්ථාවක්,කුරුළු කූඩු වලට,දුවගෙන,රෙදි,1,1,1,1,4,කසුනි,පවනි,0,0,0,අම්මා රූපවාහිනිය බලනවා,අපි හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියන් වෙමු,1,0,1,පහයි,0,0,ගස,දන්නෙ නෑ,ගේට්ටුව,1,0,0,1,අන්නාසි,ටීෂර්ට් 1,1,0,1,අඟහරුවාදා,0,0,7,46.67,Weak
අමායා රෙදි ටික ගෙදරට ගත්තා,කැදලි කරා,දන්නෙ නෑ,රෙදි,1,1,0,1,3,කසුනි,දන්නෙ නෑ,0,0,0,රූපවාහිනිය අම්මා බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියෝ වෙමු,0,1,1,අටයි,1,1,ගස,ගේට්ටුව,මල් ගහ,1,0,1,2,අන්නාසි,සසපත්තු,1,1,2,සඳුදා,1,1,10,66.67,Average
වැහි සහිත අවස්ථාවක්,කැදලි කරා,රෙදි,දන්නෙ නෑ,0,1,0,0,1,කසුන්,පවනි,1,0,1,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියන් වෙමු,1,1,2,අටයි,1,1,ගස,මල් පඳුර,ළිඳ,1,0,0,1,අන්නාසි,සපත්තු,1,1,2,සඳුදා,1,1,9,60.0,Average
වැසි අවස්ථාව,අහසට,පයින්,සෙල්ලම් බඩු,1,0,0,0,1,පවනි,දන්නෙ නෑ,0,0,0,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියන් වෙමු,1,1,2,අටයි,1,1,ගස,ළිඳ,මල් පඳුර,1,1,1,3,අන්නාසි,සපත්තු 2,1,1,2,සඳුදා,1,1,10,66.67,Average
වැස්ස,කැදලි කරා,කලබලයෙන්,දර,1,1,1,0,3,සහන්,කසුන්,0,0,0,අම්මා රූපවාහිනිය බලනවා,යහපත් පුරවැසියෙකු වෙමු,1,0,1,අටයි,1,1,ගස,ගේට්ටුව,ළිඳ,1,0,0,1,අන්නාසි,සපත්තු,1,1,2,අඟහරුවාදා,0,0,8,53.33,Average
වැස්ස,කූඩු වලට,කලබලයෙන්,රෙදි ටික,1,1,1,1,4,කසුන්,පවනි,1,0,1,අම්මා රූපවාහිනිය බලනවා,ඉගෙන ගෙන හොඳින් යහපත් පුරවැසියෝ වෙමු,1,0,1,අටයි,1,1,ගස,මල් පඳුර,ළිඳ,1,0,0,1,අන්නාසි,සපත්තු 2,1,1,2,සඳුදා,1,1,11,73.33,Normal
වැස්ස,කූඩුවට,දන්නෙ නෑ,රෙදි,1,1,0,1,3,සහන්,පහන්,0,0,0,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන පුරවැසියන් වෙමු,1,0,1,දෙකයි,0,0,දන්නෙ නෑ,පඳුරු,ළිඳ,0,0,0,0,අන්නාසි,කලිසම,1,0,1,සඳුදා,1,1,6,40.0,Weak
වැස්සක් එනවා,අහසට,ඉක්මනින්,රෙදි,1,0,1,1,3,දන්නෙ නෑ,පවනි,0,0,0,අම්මා රූපවාහිනිය බලනවා,ඉගෙන ගෙන යහපත් පුරවැසියන් වෙමු,1,0,1,අටයි,1,1,ගස,ළිඳ,මල් වත්ත,1,1,1,3,අන්නාසි,සපත්තු,1,1,2,සව්දා,1,1,11,73.33,Normal
වැස්ස,කුරුළු කූඩුවට,දුවගෙන,රෙදි,1,1,1,1,4,පවනි,කසුන්,0,0,0,රූපවාහිනිය අම්මා බලනවා,පුරවැසියන් යහපතින් ඉගෙන ගනිමු,0,0,0,දෙකයි,0,0,ගසක්,ළිඳක්,මල් වත්තක්,1,1,1,3,අන්නාසි,සපත්තුවක්,1,1,2,සඳුදා,1,1,10,66.67,Average
වැස්සක් එනවා,කෑම සොයා ගැනීමට,දුවගෙන,රෙදි,1,0,1,1,3,සහන්,කසුන්,0,0,0,අම්මා රූපවාහිනිය බලයි,ඉගෙන ගෙන යහපත් පුරවැසියෙක් වෙමු,1,0,1,අටයි,1,1,ගහක්,ගේට්ටුව,මල්,1,0,1,2,අන්නාසි,සපත්තු,1,1,2,අඟහරුවාදා,0,0,9,60.0,Average
වැස්ස,කුරුළු කූඩුවට,කලබලයේ,රෙදි,1,1,1,1,4,පවනි,කසුන්,0,0,0,අම්මා රූපවාහිනී බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියන් වෙමු,1,1,2,අටයි,1,1,ගස,ළිඳ,මල්,1,1,1,3,ගෝවා,සපත්තුව,0,1,1,සෞද,1,1,12,80.0,Normal
රෑ,කැලෑවට,දොර ඇරලා,බඩු,0,0,0,0,0,කසුන්,දන්නෙ නෑ,1,0,1,අම්මා රූපවාහිනිය බලනවා,දන්නෙ නෑ,1,0,1,තුනයි,0,0,අහස,ළිඳ,ගහ,0,1,0,1,අන්නාසි,බැනියම,1,0,1,සිකුරාදා,0,0,4,26.67,Weak
වැස්ස,අහසට,දුවගෙන,රෙදි,1,0,1,1,3,පවනි,සහන්,0,1,1,දන්නෙ නෑ,දන්නෙ නෑ,0,0,0,අටයි,1,1,ගස,ගේට්ටුව,ළිඳ,1,0,0,1,අන්නාසි,කාලිසම,1,0,1,ඉරිදා,0,0,7,46.67,Weak
වැස්ස,කූඩුවට,දුවලා දුවලා,දන්නෙ නෑ,1,1,1,0,3,සහන්,පවනි,0,0,0,දන්නෙ නෑ,දන්නෙ නෑ,0,0,0,දන්නෙ නෑ,0,0,අහස,ගහ,ළිඳ,0,0,0,0,කැරට්,සපත්තු 2,0,1,1,සිකුරාදා,0,0,4,26.67,Weak
කුණාටුවක්,කුරුළු කූඩුවට,ඇවිදලා,රෙදි,1,1,1,1,4,පවනි,කසුන්,0,0,0,අම්මා රූපවහිනිය බලනවා,හොඳින් යහපත් ඉගෙන ගෙන පුරවැසින් වෙමු,1,0,1,තුනයි,0,0,ගහ,ළිඳ,මල් වත්ත,1,1,1,3,ගෝවා,සපත්තු,0,1,1,සඳුදා,1,1,10,66.67,Average
දන්නෙ නෑ,ගහට,දන්නෙ නෑ,බඩු,0,0,0,0,0,පවනි,දන්නෙ නෑ,0,0,0,දන්නෙ නෑ,දන්නෙ නෑ,0,0,0,දන්නෙ නෑ,0,0,ගස,දන්නෙ නෑ,ගස,1,0,0,1,දන්නෙ නෑ,ශර්ට් 1,0,0,0,දන්නෙ නෑ,0,0,1,6.67,Weak
දන්නෙ නෑ,ගහට,ගහ හෙල්ලුනා,රෙදි,0,0,0,1,1,පවනි,කසුන්,0,0,0,අම්මා රූපවාහිනිය බලනවා,ඉගෙන ගෙන පුරවැසියන් යහපත් හොඳින් වෙමු,1,0,1,දෙකයි,0,0,ගහ,ළිඳ,මල්,1,1,1,3,ගෝවා,ශර්ට් 1,0,0,0,සිකුරාදා,0,0,5,33.33,Weak
දන්නෙ නෑ,දන්නෙ නෑ,දන්නෙ නෑ,දන්නෙ නෑ,0,0,0,0,0,පවනි,කසුන්,0,0,0,දන්නෙ නෑ,දන්නෙ නෑ,0,0,0,අටයි,1,1,ගහ,දන්නෙ නෑ,මල් ගහ,1,0,1,2,ගෝවා,සපත්තු 2,0,1,1,සිකුරාදා,0,0,4,26.67,Weak
වැස්ස,කූඩුවට,දන්නෙ නෑ,ඇඳුම්,1,1,0,1,3,පවනි,කසුන්,0,0,0,අම්මා රූපවාහිනිය බලනවා,දන්නෙ නෑ,1,0,1,දන්නෙ නෑ,0,0,අහස,ළිඳ,මල් පෝච්චිය,0,1,1,2,ගෝවා,ටීෂර්ට් 1,0,0,0,සඳුදා,1,1,7,46.67,Weak
වැස්ස එනවා,ගෙවල් වලට,ඇවිදගෙන,රෙදි,1,0,0,1,2,සහන්,පවනි,0,0,0,අම්මා රූපවාහිනිය බලනවා,හොඳ පුරවැසියන් වෙමු ඉගෙන ගනිමු,1,0,1,අටයි,1,1,අඹ ගස,දොර,මල් පෝච්චිය,1,0,1,2,අන්නාසි,සපත්තුව,1,1,2,සෞන්ද,1,1,9,60.0,Average
වැස්ස,ගහට,කලබලෙන්,තිබූ රෙදි ටික,1,1,1,1,4,කසුන්,පවනි,1,0,1,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන පුරවැසියන් වෙමු,1,0,1,දහයයි,0,0,ගස,මල් පාත්තිය,ළිඳ,1,0,0,1,අන්නාසි,ටීෂර්ට් 1,1,0,1,සඳුදා,1,1,9,60.0,Average
වැස්ස අවස්ථාවක්,ගෙවල් වලට,දුවගෙන,රෙදි ටික,1,0,1,1,3,පවනි,කසුන්,0,0,0,අම්මා රූපවාහිනිය බලනවා,හොඳින් යහපත් පුරවැසියන්,1,0,1,අටයි,1,1,ගස,ගේට්ටුව,රෝස ගහ,1,0,1,2,අන්නාසි,සපත්තු,1,1,2,සඳුදා,1,1,10,66.67,Average
අහස කළු වෙලා,කූඩු වලට,කලබලෙන්,මිදුලේ තිබූ රෙදි ටිකක්,0,1,1,1,3,සහන්,පවනි,0,0,0,අම්මා රූපවාහිනිය බලනවා,යහපත් පුරවැසියන් ඉගෙන ගෙන හොඳින් වෙමු,1,0,1,දහතුනයි,0,0,ගස,ළිඳ,මල් පොකුර,1,1,1,3,අන්නාසි,සපත්තු,1,1,2,බදාදා,0,0,9,60.0,Average
වවුලෝ,කූඩු වලට,කලබලෙන්,රෙදි ටික,0,1,1,1,3,සහන්,කසුන්,0,0,0,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යයහපත් පුරවැසියන් වෙමු,1,1,2,දෙකයි,0,0,ගස,ගේට්ටුව,ළිඳ,1,0,0,1,අන්නාසි,සපත්තු,1,1,2,සඳුදා,1,1,9,60.0,Average
රෑ වේලාවට,කූඩු වට,කලබලෙන්,දන්නෙ නෑ,0,1,1,0,2,සහන්,පවනි,0,0,0,අම්මා රූපවාහිනිය බලනවා,පුරවැසියන් යහපත් හොඳින් ඉගෙන ගෙන වෙමු,1,0,1,අටයි,1,1,ගස,ළිඳ,කොල,1,1,0,2,අන්නාසි,සපත්තුව,1,1,2,සඳුදා,1,1,9,60.0,Average
වැස්ස,කූඩුවට,කලබලයෙන්,රෙදි,1,1,1,1,4,පවනි,සහන්,0,1,1,රූපවාහිනිය අම්මා බලනවා,පුරවැසියන් හොඳින් ඉගෙන ගෙන පුරවැසියන් වෙමු,0,0,0,අටයි,1,1,ගස,ළිඳ,මල් පෝච්චිය,1,1,1,3,අන්නාසි,සපත්තුව,1,1,2,සඳුදා,1,1,12,80.0,Normal
වහින අවස්ථාව,කූඩු වලට,කලබලෙන්,මිදුලේ තිබූ රෙදිටික,1,1,1,1,4,පවනි,සහන්,0,1,1,අම්මා රූපවාහිනිය බලනවා,පූරවැසියන් හොඳින් ඉගෙන ගෙන යහපත් වෙමු,1,0,1,අටයි,1,1,ගහ,ගේට්ටුව,මල් ගහ,1,0,1,2,අන්නාසි,සපත්තුව,1,1,2,සඳුදා,1,1,12,80.0,Normal
වැස්ස,කූඩු වලට,කලබලෙන්,රෙදි ටික,1,1,1,1,4,කසුන්,සහන්,1,1,2,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියෙකු වෙමු,1,1,2,අටයි,1,1,ගස,මල් පඳුර,ළිඳ,1,0,0,1,අන්නාසි,සපත්තු 2,1,1,2,සඳුදා,1,1,13,86.67,Normal
වැස්ස ගැන,කුඩු වලට,කලබලයෙන්,රෙදි ටිකක්,1,1,1,1,4,පවනි,සහන්,0,1,1,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියන් වෙමු,1,1,2,අටයි,1,1,ගස,ගේට්ටුව,මල් පාත්තිය,1,0,1,2,අන්නාසි,සපත්තු 2,1,1,2,සෞද,1,1,13,86.67,Normal
වැස්සක් ගැන,නිවැස් වලට,දුවගෙන,රෙදි,1,0,1,1,3,පවනි,කසුන්,0,0,0,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියන් වෙමු,1,1,2,පහයි,0,0,අඹ ගස,ගේට්ටුව,මල් ගස,1,0,1,2,අන්නාසි,සපත්තු 2,1,1,2,අඟහරුවාදා,0,0,9,60.0,Average
වැස්ස ගැන,කූඩුවට,දුවලා,රෙදි,1,1,1,1,4,සමන්,පවනි,0,0,0,රූපවාහිනිය අම්මා බලනවා,වෙමු ඉගෙන ගෙන පුරවැසියෙක්,0,0,0,අටයි,1,1,ගහ,ළිඳ,මල් ගහ,1,1,1,3,අන්නාසි,සපත්තු 2,1,1,2,බ්‍රහස්පතින්දා,0,0,10,66.67,Average
වහින්න යනකොට,කූඩු වලට,කලබලයෙන්,මිදුලේ වනා තිබූ රෙදි ටික,1,1,1,1,4,කසුන්,පවනි,1,0,1,අම්මා රූපවාහිනිය බලනවා,හොඳින් යහපත් පුරවැසියන් ඉගෙන ගෙන වෙමු,1,0,1,තුනක්,0,0,ගස,මල්,ළිඳ,1,0,0,1,අන්නාසි,ටීෂර්ට් 1,1,0,1,සඳුදා,1,1,9,60.0,Average
වැස්ස,කූඩු වලට,කලබලෙන්,මිදුලේ තිබුණ රෙදි,1,1,1,1,4,කසුන්,සහන්,1,1,2,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියන් වෙමු,1,1,2,දන්නෙ නෑ,0,0,ගස,ළිඳ,මල් පාත්තිය,1,1,1,3,අන්නාසි,සපත්තු,1,1,2,සඳුදා,1,1,14,93.33,Normal
වැස්සට පෙර,කූඩු වලට,කලබලෙන්,රෙදි ටික,1,1,1,1,4,කසුන්,සහන්,1,1,2,අම්මා රූපවාහිනිය බලනවා,පුරවැසියන් හොඳින් ඉගෙන ගෙන යහපත් වෙමු,1,0,1,පහයි,0,0,ගහ,ළිඳ,මල් පදුර,1,1,1,3,අන්නාසි,සපත්තු,1,1,2,දන්නෙ නෑ,0,0,12,80.0,Normal
වැස්ස,කැදලි කරා,පයින්,පැදුර,1,1,0,0,2,කසුන්,සහන්,1,1,2,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියන් වෙමු,1,1,2,අටයි,1,1,ගස,ළිඳ,පාත්තිය,1,1,1,3,අන්නාසි,කලිසම,1,0,1,ඉරිදා,0,0,11,73.33,Normal
වැස්ස,කූඩු වලට,තෙමි තෙමි,රෙදි,1,1,0,1,3,සහන්,සහන්,0,1,1,අම්මා රූපවාහිනිය බලනවා,යහපත් පුරවැසියන් හොඳින් ඉගෙන ගෙන ගෙන වෙමු,1,0,1,අටයි,1,1,ගස,ළිඳ,මල් පඳුරක්,1,1,1,3,අන්නාසි,සපත්තු 2,1,1,2,අඟහරුවාදා,0,0,11,73.33,Normal
වැශ්ශ,කූඩු වලට,කලබලෙන්,මිදුලේ වනා තිබූ රෙදිටික,1,1,1,1,4,ශහන්,පවනි,0,0,0,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියන් වෙමු,1,1,2,අටයි,1,1,ගසක්,ළිඳක්,මල් ගහක්,1,1,1,3,අන්නාසි,සපත්තු,1,1,2,සඳුදා,1,1,13,86.67,Normal
කුරුල්ලෝ පියාඹලා යන විට,කූඩුවට,සුළඟට ගස් ඇඹරී කොළ බිම වැටෙනවා,රෙදි ටික ගෙදරට ගත්තා,0,1,0,1,2,කසුන්,සහන්,1,1,2,අම්මා රූපවාහිනිය බලනවා,හොඳින් යහපත් පුරවැසියන් ඉගෙන ගෙන වෙමු,1,0,1,පහයි,0,0,ගස,ගේට්ටුව,මල් පඳුර,1,0,1,2,අන්නාසි,සපත්තු,1,1,2,බ්‍රහස්පතින්දා,0,0,9,60.0,Average
දෙක,කුරුළු කූඩුවට,ඇවිදගෙන,රෙදි,0,1,0,1,2,කසුන්,පවනි,1,0,1,අම්මා බලනවා රූපවාහිනිය,පුරවැසියන් ඉගෙන ගෙන යහපත් හොඳින් වෙමු,0,0,0,නමයයි,0,0,ළිඳ,මල්,ළිඳ,0,0,0,0,අන්නාසි,ටීෂර්ට් 1,1,0,1,දන්නෙ නෑ,0,0,4,26.67,Weak
වැහි අවස්ථාවක,උතුරට,කලබලේ,රෙදි,1,0,1,1,3,සහන්,පවනි,0,0,0,අම්මා රූපවාහිනිය බලනවා,පුරවැසියන් ඉගෙන ගෙන පුරවැසියන් වෙමු,1,0,1,හතයි,0,0,ගස,මල් පාත්තිය,ළිඳ,1,0,0,1,අන්නාසි,සපත්තු 2,1,1,2,ඉරිදා,0,0,7,46.67,Weak
වැස්ස,කූඩු වලට,කලබලෙන්,දන්නේ නෑ,1,1,1,0,3,තතුන්,අනුර,0,0,0,අම්මා බලනවා රූපවාහිනිය,ඉගෙන ගෙන එමු හොඳින් පුරවැසියන් වෙමු,0,0,0,පහයි,0,0,අහස,ළිඳ,මල්,0,1,1,2,අන්නාසි,සපත්තු,1,1,2,ඉරිදා,0,0,7,46.67,Weak
දන්නේ නෑ,කූඩු වලට,කලබලෙන්,රෙදි,0,1,1,1,3,දන්නෙ නෑ,දන්නෙ නෑ,0,0,0,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියන් වෙමු,1,1,2,දෙකයි,0,0,දන්නෙ නෑ,ළිඳක්,මල් මල්,0,1,1,2,කැරට්,සපත්තු දෙකක්,0,1,1,සඳුදා,1,1,9,60.0,Average
ගෙදර,කුරුළු කූඩුවට,මිදුලට,දන්නෙ නෑ,0,1,0,0,1,කසුන්,පවනි,1,0,1,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියන් වෙමු,1,1,2,පහයි,0,0,ගස,ළිඳ,මල්,1,1,1,3,අන්නාසි,සපත්තු,1,1,2,සව්දා,1,1,10,66.67,Average
වැස්ස,ඒගොල්ලන්ගේ කූඩු වලට,කලබලෙන්,රෙදි,1,1,1,1,4,කසුනි,සහන්,0,1,1,අම්මා රූපවාහිනිය බලනවා,ඉගෙන ගෙන පුරවැසියන් වෙමු,1,0,1,අටයි,1,1,ගස,ළිඳ,මල් පැළ ටික,1,1,1,3,අන්නාසි,ටීෂර්ට් 1,1,0,1,අඟහරුවාදා,0,0,11,73.33,Normal
වැසි අවස්ථාවක්,කැඳලි කරා,කලබලෙන්,රෙදි,1,1,1,1,4,පවනි,කසුන්,0,0,0,අම්මා රූපවාහිනිය බලනවා,යහපති පුරවැසියන් හොඳින් ඉගෙන ගෙන වෙමු,1,0,1,අට,1,1,ගස,ළිඳ,මල් ගස,1,1,1,3,අන්නාසි,සපත්තුව,1,1,2,සදුදා,1,1,12,80.0,Normal
අවස්ථාවක්,කූඩු වලට,කලබලෙන්,රෙදි,0,1,1,1,3,පවනි,සවනි,0,0,0,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියන් වෙමු,1,1,2,අටයි,1,1,ගස,ගේට්ටුව,මල් පාත්තිය,1,0,1,2,අන්නාසි,සපත්තු,1,1,2,සෞද,1,1,11,73.33,Normal
අමාය ගෙදර ඇතුළට ගත්තේ මොනවාද,කූඩු,කලබලෙන්,රෙදි,0,1,1,1,3,දන්නෙ නෑ,සහන්,0,1,1,අම්මා රූපවාහිනිය බලනවා,යහපත් පුරවැසියන් හොඳින් ඉගෙන,1,0,1,ආටයි,1,1,ගස,ළිඳ,මල්,1,1,1,3,අන්නාසි ගෙඩිය,සපත්තු,1,1,2,සඳුදා,1,1,12,80.0,Normal
දන්නෙ නෑ,කුරුළු කූඩුවට,කලබලෙන්,රෙදි,0,1,1,1,3,පවනි,කසුන්,0,0,0,අම්මා රූපවාහිනිය බලනවා,දන්නේ නෑ,1,0,1,අටයි,1,1,ගහ,ළිඳ,පඳුරු,1,1,1,3,අන්නාසි,ෂර්ට් 1,1,0,1,සෞද,1,1,10,66.67,Average
මිනිස්සු ගෙවල්වලට ගියා,කූඩු වලට,කලබලෙන්,රෙදි ටික,0,1,1,1,3,පසුන්,අනුව,0,0,0,අම්මා රූපවාහිනිය බලනවා,පුරවැසියන් යහපත් වෙමු,1,0,1,දහතුනයි,0,0,අහස,ගේට්ටුව,ගස,0,0,0,0,කැරට්,ටීෂර්ට් 1,0,0,0,සඳුදා,1,1,5,33.33,Weak
වැස්ස වහිනවා,කූඩු වලට,කලබලෙන් ගෙවල් වලට යනවා,රෙදි,1,1,1,1,4,සහන්,පවනි,0,0,0,අම්මා රූපවාහිනිය බලනවා,යහපත් පුරවැසියන් හොඳින් ඉගෙන ගෙන ඉගෙන ගෙන වෙමු,1,0,1,නවයක්,0,0,ළිඳ,ගඟ,ගහ,0,0,0,0,අන්නාසි,සපත්තු,1,1,2,සෙනසුරාදා,0,0,7,46.67,Weak
වැස්ස,ගෙවල් වලට,දුවගෙන,සෙල්ලම් බඩු,1,1,1,0,3,කසුන්,පසිඳු,1,0,1,අම්මා රූපවාහිනිය බලනවා,යහපත් පුරුදු හොඳින් ඉගෙන ගනිමු,1,0,1,අටයි,1,1,ගස,ළිඳ,මල් ගස,1,1,1,3,කෙසෙල්,කැප් 1,0,0,0,සඳුදා,1,1,10,66.67,Average
දන්නෙ නෑ,ගස්වල තිබූ කූඩු වලට,කලබලෙන්,රෙදි,0,1,1,1,3,දන්නෙ නෑ,දන්නෙ නෑ,0,0,0,අම්මා රූපවාහිනිය බලනවා,ඉගෙන ගෙන හොඳින් යහපත් පුරවැසියෝවෙමු,1,0,1,හතයි,0,0,ගස,ගේට්ටුව,ළිඳ,1,0,0,1,අන්නාසි,දන්නෙ නෑ,1,0,1,සඳුදා,1,1,7,46.67,Weak
වැසි,කුරුළු කූඩු වලට,කලබලෙන්,රෙදි,1,1,1,1,4,සහන්,කසුන්,0,0,0,අම්මා රූපවාහිනිය බලනවා,ඉගෙන ගෙන යහපත් පුරවැසියන් වෙමු,1,0,1,පහයි,0,0,ගස,ළිඳ,මල් පාත්තිය,1,1,1,3,අන්නාසි,සපත්තු,1,1,2,සඳුදා,1,1,11,73.33,Normal
වැසි සහිත අවස්ථාවක්,කූඩුවට,කලබලෙන්,මිදුලේ වනා තිබූ රෙදි,1,1,1,1,4,කසුන්,සහන්,1,1,2,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියෝ වෙමු,1,1,2,අටයි,1,1,ගස,ගේට්ටුව,ළිඳ,1,0,0,1,අන්නාසි,සපත්තු,1,1,2,සඳුදා,1,1,13,86.67,Normal
වැහි කාලය,කූඩුවට,කලබලෙන්,රෙදි,1,1,1,1,4,සහන්,කසුන්,0,0,0,අම්මා රූපවාහිනිය බලනවා,ඉගෙන ගෙන පුරවැසියන් හොඳින් යහපත් වෙමු,1,0,1,දහතුනයි,0,0,ගහ,ළිඳ,මල් පාත්තිය,1,1,1,3,අන්නාසි,සපත්තු,1,1,2,සඳුදා,1,1,11,73.33,Normal
වැස්ස ගැන,දන්නෙ නෑ,දුවලා,රෙදි,1,0,1,1,3,පවනි,සහන්,0,1,1,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියන් වෙමු,1,1,2,දෙකයි,0,0,ගස,ළිඳ,මල් පාත්තිය,1,1,1,3,අන්නාසි,සපත්තු,1,1,2,සඳුදා,1,1,12,80.0,Normal
වැස්ස,ගෙවල් වලට,දුවගෙන,රෙදි,1,1,1,1,4,පවනි,කසුන්,0,0,0,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියන් වෙමු,1,1,2,දෙකයි,0,0,ගහ,ළිඳ,මල් පාත්තිය,1,1,1,3,අන්නාසි,සපත්තු,1,1,2,සඳුදා,1,1,12,80.0,Normal
වැස්ස ගැන,කූඩු වලට,කලබලෙන්,රෙදි,1,1,1,1,4,සහන්,කසුන්,0,0,0,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යයහපත් පුරවැසියන් වෙමු,1,1,2,දෙකයි,0,0,ගස්,ළිඳ,ළිඳ,1,1,0,2,අන්නාසි,සපත්තු,1,1,2,සඳුදා,1,1,11,73.33,Normal
වැස්ස ගැන,කූඩු වලට,කලබලෙන්,ඇඳුම්,1,1,1,1,4,සහන්,කසුන්,0,0,0,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියෝ වෙමු,1,1,2,දෙකයි,0,0,ගස,ළිඳ,මල් පාත්තිය,1,1,1,3,අන්නාසි,සපත්තුව,1,1,2,සඳුදා,1,1,12,80.0,Normal
වැස්සක් ඒමට,නිවැස් කරා,රථ වාහන වලින්,ඇඳුම් පැළඳුම්,1,1,0,1,3,සවනි,දන්නෙ නෑ,0,0,0,අම්මා රූපවාහනිය බලනවා,දන්නෙ නෑ,1,0,1,අටයි,1,1,ගස,ගේ සහ මල් පාත්තිය,ළිඳ,1,0,0,1,අන්නාසි,සපත්තු,1,1,2,සඳුදා,1,1,9,60.0,Average
වැස්ස වහිනවා,කැදෙලි කරා,දුවගෙන,රෙදි,1,1,1,1,4,සහන්,පවනි,0,0,0,අම්මා රූපවාහිනිය බලනවා,යහපත් පුරවැසියන් හොඳින් ඉගෙන වෙමු,1,0,1,අටයි,1,1,ගස,ළිඳ,පඳුර,1,1,1,3,අන්නාසි ගෙඩියේ,සපත්තු 2,1,1,2,සඳුදා,1,1,12,80.0,Normal
වැස්සක් අත ළඟ,නිවෙස් වලට,වැස්සක් එන නිසා,රෙදි,1,1,0,1,3,සහන්,කසුන්,0,0,0,අම්මා රූපවාහිනිය බලනවා,දන්නෙ නෑ,1,0,1,අටයි,1,1,ළිඳ,මල් ගස,ගේට්ටුව,0,0,0,0,අන්නාසි,සපත්තු 2,1,1,2,ඉරිදා,0,0,7,46.67,Weak
